domain,aspect,clean_sentence,predicted_sentiment,confidence,method
Nokia 6600,games,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.613,bert-based
Nokia 6600,internet,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.529,bert-based
Nokia 6600,games,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.613,bert-based
Nokia 6600,speaker phone,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.711,bert-based
Nokia 6600,connectivity,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.604,bert-based
Nokia 6600,call logs,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.631,bert-based
Nokia 6600,connectivity,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.604,bert-based
Nokia 6600,connectivity,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.604,bert-based
Nokia 6600,connectivity,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.604,bert-based
Nokia 6600,phone,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.666,bert-based
Nokia 6600,phone,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.666,bert-based
Nokia 6600,6600,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.567,bert-based
Nokia 6600,phone,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.666,bert-based
Nokia 6600,internet,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.529,bert-based
Nokia 6600,gprs,depending timing postmark date dont get second bill postmark date passes impossible qualify rebate,negative,0.557,bert-based
Nokia 6600,camera,kde bluez system bluetooth support,positive,0.464,bert-based
Nokia 6600,images,kde bluez system bluetooth support,positive,0.503,bert-based
Nokia 6600,camera,kde bluez system bluetooth support,positive,0.464,bert-based
Nokia 6600,feature,kde bluez system bluetooth support,positive,0.463,bert-based
Nokia 6600,email,kde bluez system bluetooth support,positive,0.473,bert-based
Nokia 6600,ringtone,kde bluez system bluetooth support,positive,0.49,bert-based
Nokia 6600,ringtone,kde bluez system bluetooth support,positive,0.49,bert-based
Nokia 6600,music,kde bluez system bluetooth support,neutral,0.462,bert-based
Nokia 6600,connectivity,kde bluez system bluetooth support,neutral,0.488,bert-based
Nokia 6600,ringtones,kde bluez system bluetooth support,positive,0.467,bert-based
Nokia 6600,os,apparently phones dont allow give entire group ringtone,negative,0.452,bert-based
Nokia 6600,applications,apparently phones dont allow give entire group ringtone,negative,0.532,bert-based
Nokia 6600,connectivity,apparently phones dont allow give entire group ringtone,negative,0.526,bert-based
Nokia 6600,connectivity,apparently phones dont allow give entire group ringtone,negative,0.526,bert-based
Nokia 6600,freespeak,use phone exculsivly jabra freespeak 250,negative,0.604,bert-based
Nokia 6600,voicedialing system,use phone exculsivly jabra freespeak 250,negative,0.386,bert-based
Nokia 6600,voicedialing system,use phone exculsivly jabra freespeak 250,negative,0.386,bert-based
Nokia 6600,voicedialing system,use phone exculsivly jabra freespeak 250,negative,0.386,bert-based
Nokia 6600,size,use phone exculsivly jabra freespeak 250,negative,0.461,bert-based
Nokia 6600,size,use phone exculsivly jabra freespeak 250,negative,0.461,bert-based
Nokia 6600,size,use phone exculsivly jabra freespeak 250,negative,0.461,bert-based
Nokia 6600,size,use phone exculsivly jabra freespeak 250,negative,0.461,bert-based
Nokia 6600,phone,use phone exculsivly jabra freespeak 250,negative,0.489,bert-based
Nokia 6600,price,use phone exculsivly jabra freespeak 250,negative,0.489,bert-based
Nokia 6600,phone,use phone exculsivly jabra freespeak 250,negative,0.489,bert-based
Nokia 6600,phone,use phone exculsivly jabra freespeak 250,negative,0.489,bert-based
Nokia 6600,tmobile,use phone exculsivly jabra freespeak 250,neutral,0.404,bert-based
Nokia 6600,att,use phone exculsivly jabra freespeak 250,negative,0.432,bert-based
Nokia 6600,tmobile,use phone exculsivly jabra freespeak 250,neutral,0.404,bert-based
Nokia 6600,6600,use phone exculsivly jabra freespeak 250,neutral,0.419,bert-based
Nokia 6600,tmobile,use phone exculsivly jabra freespeak 250,neutral,0.404,bert-based
Nokia 6600,features,use phone exculsivly jabra freespeak 250,neutral,0.43,bert-based
Nokia 6600,signal,use phone exculsivly jabra freespeak 250,negative,0.418,bert-based
Nokia 6600,sound,use phone exculsivly jabra freespeak 250,negative,0.522,bert-based
Nokia 6600,speaker phone,use phone exculsivly jabra freespeak 250,negative,0.631,bert-based
Nokia 6600,size,use phone exculsivly jabra freespeak 250,negative,0.461,bert-based
Nokia 6600,shape,use phone exculsivly jabra freespeak 250,negative,0.491,bert-based
Nokia 6600,size,use phone exculsivly jabra freespeak 250,negative,0.461,bert-based
Nokia 6600,shape,use phone exculsivly jabra freespeak 250,negative,0.491,bert-based
Nokia 6600,keys,use phone exculsivly jabra freespeak 250,neutral,0.352,bert-based
Nokia 6600,key,use phone exculsivly jabra freespeak 250,neutral,0.383,bert-based
Nokia 6600,kays,use phone exculsivly jabra freespeak 250,negative,0.523,bert-based
Nokia 6600,battery,use phone exculsivly jabra freespeak 250,negative,0.483,bert-based
Nokia 6600,calls,use phone exculsivly jabra freespeak 250,negative,0.524,bert-based
Nokia 6600,instant messaging,use phone exculsivly jabra freespeak 250,neutral,0.489,bert-based
Nokia 6600,quality,use phone exculsivly jabra freespeak 250,negative,0.377,bert-based
Nokia 6600,tmobile,use phone exculsivly jabra freespeak 250,neutral,0.404,bert-based
Nokia 6600,customer service agents,use phone exculsivly jabra freespeak 250,negative,0.435,bert-based
Nokia 6600,service,use phone exculsivly jabra freespeak 250,neutral,0.472,bert-based
Nokia 6600,calls,use phone exculsivly jabra freespeak 250,negative,0.524,bert-based
Nokia 6600,tmobile,use phone exculsivly jabra freespeak 250,neutral,0.404,bert-based
Nokia 6600,verizon,use phone exculsivly jabra freespeak 250,neutral,0.392,bert-based
Nokia 6600,quest wireless,use phone exculsivly jabra freespeak 250,neutral,0.457,bert-based
Nokia 6600,tmobile,use phone exculsivly jabra freespeak 250,neutral,0.404,bert-based
Nokia 6600,6600,use phone exculsivly jabra freespeak 250,neutral,0.419,bert-based
Nokia 6600,6600,use phone exculsivly jabra freespeak 250,neutral,0.419,bert-based
Nokia 6600,3650,use phone exculsivly jabra freespeak 250,neutral,0.426,bert-based
Nokia 6600,os,use phone exculsivly jabra freespeak 250,negative,0.476,bert-based
Nokia 6600,phone,use phone exculsivly jabra freespeak 250,negative,0.489,bert-based
Nokia 6600,use,use phone exculsivly jabra freespeak 250,neutral,0.422,bert-based
Nokia 6600,connectivity,use phone exculsivly jabra freespeak 250,neutral,0.435,bert-based
Nokia 6600,ringers,use phone exculsivly jabra freespeak 250,negative,0.592,bert-based
Nokia 6600,ringtones,use phone exculsivly jabra freespeak 250,neutral,0.36,bert-based
Nokia 6600,performance,use phone exculsivly jabra freespeak 250,negative,0.489,bert-based
Nokia 6600,os,use phone exculsivly jabra freespeak 250,negative,0.476,bert-based
Nokia 6600,hand set,use phone exculsivly jabra freespeak 250,negative,0.404,bert-based
Nokia 6600,rebate,use phone exculsivly jabra freespeak 250,neutral,0.414,bert-based
Nokia 6600,rebate,use phone exculsivly jabra freespeak 250,neutral,0.414,bert-based
Nokia 6600,rebate,use phone exculsivly jabra freespeak 250,neutral,0.414,bert-based
Nokia 6600,customer care,use phone exculsivly jabra freespeak 250,neutral,0.41,bert-based
Nokia 6600,rebates,use phone exculsivly jabra freespeak 250,negative,0.468,bert-based
Nokia 6600,features,bought 2 nokia 6600 phones recently thru amazon market place,positive,0.472,bert-based
Nokia 6600,speaker phone,bought 2 nokia 6600 phones recently thru amazon market place,neutral,0.444,bert-based
Nokia 6600,web browser,bought 2 nokia 6600 phones recently thru amazon market place,positive,0.372,bert-based
Nokia 6600,camera,bought 2 nokia 6600 phones recently thru amazon market place,positive,0.403,bert-based
Nokia 6600,screen,whole let summarize good bad things phone instead writing long review,negative,0.431,bert-based
Nokia 6600,screen,whole let summarize good bad things phone instead writing long review,negative,0.431,bert-based
Nokia 6600,features,whole let summarize good bad things phone instead writing long review,neutral,0.419,bert-based
Nokia 6600,web browser,whole let summarize good bad things phone instead writing long review,negative,0.51,bert-based
Nokia 6600,camera,whole let summarize good bad things phone instead writing long review,negative,0.452,bert-based
Nokia 6600,video recorder,whole let summarize good bad things phone instead writing long review,negative,0.394,bert-based
Nokia 6600,speaker phone,whole let summarize good bad things phone instead writing long review,neutral,0.431,bert-based
Nokia 6600,reception,whole let summarize good bad things phone instead writing long review,negative,0.486,bert-based
Nokia 6600,joy stick,whole let summarize good bad things phone instead writing long review,negative,0.403,bert-based
Nokia 6600,memory card,whole let summarize good bad things phone instead writing long review,negative,0.439,bert-based
Nokia 6600,battery,whole let summarize good bad things phone instead writing long review,neutral,0.446,bert-based
Nokia 6600,joy stick,whole let summarize good bad things phone instead writing long review,negative,0.403,bert-based
Nokia 6600,memory card,whole let summarize good bad things phone instead writing long review,negative,0.439,bert-based
Nokia 6600,battery,whole let summarize good bad things phone instead writing long review,neutral,0.446,bert-based
Nokia 6600,performance,whole let summarize good bad things phone instead writing long review,negative,0.442,bert-based
Nokia 6600,menu,whole let summarize good bad things phone instead writing long review,neutral,0.431,bert-based
Nokia 6600,size,whole let summarize good bad things phone instead writing long review,negative,0.394,bert-based
Nokia 6600,heavy,whole let summarize good bad things phone instead writing long review,neutral,0.422,bert-based
Nokia 6600,buttons,looks big display ads though,negative,0.466,bert-based
Nokia 6600,buttons,looks big display ads though,negative,0.466,bert-based
Nokia 6600,video recorder,looks big display ads though,neutral,0.418,bert-based
Nokia 6600,phone,review defintely give idea phone,positive,0.756,bert-based
Nokia 6600,isync compaibility,checked isync compatibility page listedthey even photo 6600 shown graphic,positive,0.515,bert-based
Nokia 6600,sync,checked isync compatibility page listedthey even photo 6600 shown graphic,positive,0.47,bert-based
Nokia 6600,isync compaibility,checked isync compatibility page listedthey even photo 6600 shown graphic,positive,0.515,bert-based
Nokia 6600,nokia,guess fault researching buying thing,negative,0.523,bert-based
Nokia 6600,sonyericsson,guess fault researching buying thing,negative,0.587,bert-based
Nokia 6600,phone,nokia going back china wherever came,negative,0.393,bert-based
Nokia 6600,phone,went mobile nokia 6600 replacing sony t610,neutral,0.424,bert-based
Nokia 6600,reception,went mobile nokia 6600 replacing sony t610,neutral,0.441,bert-based
Nokia 6600,speaker phone,went mobile nokia 6600 replacing sony t610,neutral,0.558,bert-based
Nokia 6600,mmc card,went mobile nokia 6600 replacing sony t610,neutral,0.475,bert-based
Nokia 6600,mp3 player,went mobile nokia 6600 replacing sony t610,neutral,0.518,bert-based
Nokia 6600,games,went mobile nokia 6600 replacing sony t610,neutral,0.482,bert-based
Nokia 6600,application,went mobile nokia 6600 replacing sony t610,neutral,0.452,bert-based
Nokia 6600,size,went mobile nokia 6600 replacing sony t610,neutral,0.498,bert-based
Nokia 6600,battery,went mobile nokia 6600 replacing sony t610,neutral,0.396,bert-based
Nokia 6600,battery,went mobile nokia 6600 replacing sony t610,neutral,0.396,bert-based
Nokia 6600,battery,went mobile nokia 6600 replacing sony t610,neutral,0.396,bert-based
Nokia 6600,gprs,went mobile nokia 6600 replacing sony t610,neutral,0.522,bert-based
Nokia 6600,phone,ill buy bigger mmc card course,positive,0.445,bert-based
Nokia 6600,phone,ill buy bigger mmc card course,positive,0.445,bert-based
Nokia 6600,os,ill buy bigger mmc card course,positive,0.4,bert-based
Nokia 6600,phone,ill buy bigger mmc card course,positive,0.445,bert-based
Nokia 6600,size,ill buy bigger mmc card course,neutral,0.454,bert-based
Nokia 6600,programs,ill buy bigger mmc card course,neutral,0.402,bert-based
Nokia 6600,mmc memory,ill buy bigger mmc card course,positive,0.46,bert-based
Nokia 6600,design,ill buy bigger mmc card course,neutral,0.396,bert-based
Nokia 6600,simcard,ill buy bigger mmc card course,neutral,0.423,bert-based
Nokia 6600,phone,ill buy bigger mmc card course,positive,0.445,bert-based
Hitachi router,adjustment,well got home mounted router table shortcomings started showing,negative,0.874,bert-based
Hitachi router,collet,tried springs notice difference,positive,0.541,bert-based
Hitachi router,use,tried springs notice difference,positive,0.508,bert-based
Hitachi router,price,homework buying larger 3hp router router table,neutral,0.491,bert-based
Hitachi router,power,small fixed base single speed router use freehand,neutral,0.611,bert-based
Hitachi router,performance,small fixed base single speed router use freehand,neutral,0.529,bert-based
Hitachi router,power,first kicked buying one first place instead smaller router retrospect think best compromise,negative,0.425,bert-based
Hitachi router,runs,first kicked buying one first place instead smaller router retrospect think best compromise,negative,0.448,bert-based
Hitachi router,cuts,first kicked buying one first place instead smaller router retrospect think best compromise,neutral,0.396,bert-based
Hitachi router,bigger,first kicked buying one first place instead smaller router retrospect think best compromise,neutral,0.446,bert-based
Hitachi router,heavier,first kicked buying one first place instead smaller router retrospect think best compromise,neutral,0.407,bert-based
Hitachi router,use,first kicked buying one first place instead smaller router retrospect think best compromise,negative,0.44,bert-based
Hitachi router,plunge,first kicked buying one first place instead smaller router retrospect think best compromise,neutral,0.44,bert-based
Hitachi router,price,first kicked buying one first place instead smaller router retrospect think best compromise,negative,0.505,bert-based
Hitachi router,power,first kicked buying one first place instead smaller router retrospect think best compromise,negative,0.425,bert-based
Hitachi router,performance,first kicked buying one first place instead smaller router retrospect think best compromise,negative,0.49,bert-based
Hitachi router,use,first kicked buying one first place instead smaller router retrospect think best compromise,negative,0.44,bert-based
Hitachi router,use,first kicked buying one first place instead smaller router retrospect think best compromise,negative,0.44,bert-based
Hitachi router,looked,looked router bought makita,neutral,0.426,bert-based
Hitachi router,price,hade poor luck tools bosch drill made malasyia could see getting,negative,0.911,bert-based
Hitachi router,pretty,hade poor luck tools bosch drill made malasyia could see getting,negative,0.882,bert-based
Hitachi router,smooth,hade poor luck tools bosch drill made malasyia could see getting,negative,0.907,bert-based
Hitachi router,powerful,hade poor luck tools bosch drill made malasyia could see getting,negative,0.827,bert-based
Hitachi router,affordable,hade poor luck tools bosch drill made malasyia could see getting,negative,0.91,bert-based
Hitachi router,track record,hade poor luck tools bosch drill made malasyia could see getting,negative,0.939,bert-based
Hitachi router,adjustment,hade poor luck tools bosch drill made malasyia could see getting,negative,0.928,bert-based
Hitachi router,costs,clean buff lube plunge rods see non issue router periodically cleaned anyway,neutral,0.592,bert-based
Hitachi router,router,clean buff lube plunge rods see non issue router periodically cleaned anyway,neutral,0.801,bert-based
Hitachi router,router,happy woodworking,positive,0.756,bert-based
Hitachi router,size,happy woodworking,positive,0.888,bert-based
Hitachi router,power,happy woodworking,positive,0.946,bert-based
Hitachi router,precise,happy woodworking,positive,0.943,bert-based
Hitachi router,m12v,changing bits requires one hand wrench one hand spindle lock two knees hold router another reason m12v best used table,positive,0.518,bert-based
Hitachi router,heavy,ive cut dadoes flush trim duplicate complex form done roundovers roman ogees,neutral,0.434,bert-based
Hitachi router,performance,ive cut dadoes flush trim duplicate complex form done roundovers roman ogees,positive,0.428,bert-based
Hitachi router,controls,ive cut dadoes flush trim duplicate complex form done roundovers roman ogees,neutral,0.408,bert-based
Hitachi router,motor,allow operation power switch left index finger plunge lock left thumb instead standard right thumb right index finger respectively depth scale back face router straight edge base plate,neutral,0.427,bert-based
Hitachi router,start,allow operation power switch left index finger plunge lock left thumb instead standard right thumb right index finger respectively depth scale back face router straight edge base plate,neutral,0.456,bert-based
Hitachi router,performance,allow operation power switch left index finger plunge lock left thumb instead standard right thumb right index finger respectively depth scale back face router straight edge base plate,neutral,0.419,bert-based
Hitachi router,price,allow operation power switch left index finger plunge lock left thumb instead standard right thumb right index finger respectively depth scale back face router straight edge base plate,neutral,0.386,bert-based
Hitachi router,size,allow operation power switch left index finger plunge lock left thumb instead standard right thumb right index finger respectively depth scale back face router straight edge base plate,neutral,0.437,bert-based
Hitachi router,power,allow operation power switch left index finger plunge lock left thumb instead standard right thumb right index finger respectively depth scale back face router straight edge base plate,neutral,0.394,bert-based
Hitachi router,spindle,allow operation power switch left index finger plunge lock left thumb instead standard right thumb right index finger respectively depth scale back face router straight edge base plate,neutral,0.428,bert-based
Hitachi router,chuck,allow operation power switch left index finger plunge lock left thumb instead standard right thumb right index finger respectively depth scale back face router straight edge base plate,neutral,0.467,bert-based
Hitachi router,router,bottom line highly recommended best used table,positive,0.835,bert-based
Hitachi router,solidity,bottom line highly recommended best used table,positive,0.969,bert-based
Hitachi router,nimble,bottom line highly recommended best used table,positive,0.956,bert-based
Hitachi router,used,bottom line highly recommended best used table,positive,0.982,bert-based
Hitachi router,start,bottom line highly recommended best used table,positive,0.745,bert-based
Hitachi router,heavy,bottom line highly recommended best used table,positive,0.978,bert-based
Hitachi router,machine,bottom line highly recommended best used table,positive,0.942,bert-based
Hitachi router,stability,bottom line highly recommended best used table,positive,0.919,bert-based
Hitachi router,guide,bottom line highly recommended best used table,positive,0.979,bert-based
Hitachi router,performance,used router plow 3 raised panels oak without phasing beast,neutral,0.505,bert-based
Hitachi router,adjustment,router also equipped adapter accepts pc guide bushings,neutral,0.423,bert-based
Hitachi router,collet,router also equipped adapter accepts pc guide bushings,neutral,0.446,bert-based
Hitachi router,collet,purchased aftermarket slotted collet job,neutral,0.489,bert-based
Hitachi router,machine,however kit comes height adjustment knob id say jump,neutral,0.602,bert-based
Hitachi router,router,however kit comes height adjustment knob id say jump,neutral,0.533,bert-based
Hitachi router,adjustment,deal amazon going cant beat youre considering buying machine site,positive,0.391,bert-based
Hitachi router,collet,deal amazon going cant beat youre considering buying machine site,positive,0.44,bert-based
Hitachi router,performance,deal amazon going cant beat youre considering buying machine site,positive,0.515,bert-based
Hitachi router,guide,deal amazon going cant beat youre considering buying machine site,positive,0.502,bert-based
Hitachi router,accessible,deal amazon going cant beat youre considering buying machine site,positive,0.562,bert-based
Hitachi router,heavy,deal amazon going cant beat youre considering buying machine site,positive,0.466,bert-based
Hitachi router,stable,deal amazon going cant beat youre considering buying machine site,positive,0.407,bert-based
Hitachi router,plunge,depth scale joke wouldnt use anything ball park measure,neutral,0.654,bert-based
Hitachi router,instructions,entails wiping rods blowing compressed air housings lightly lubricating rods silicone lubricant,neutral,0.552,bert-based
Hitachi router,fit,entails wiping rods blowing compressed air housings lightly lubricating rods silicone lubricant,neutral,0.431,bert-based
Hitachi router,finish,entails wiping rods blowing compressed air housings lightly lubricating rods silicone lubricant,neutral,0.462,bert-based
Hitachi router,price,plan get portercable table mounted use using machine hand held use,neutral,0.515,bert-based
Hitachi router,money,plan get portercable table mounted use using machine hand held use,neutral,0.394,bert-based
Hitachi router,plunge,use primarily router table making moldings trim,neutral,0.517,bert-based
Hitachi router,springs,use primarily router table making moldings trim,neutral,0.469,bert-based
Hitachi router,money,use primarily router table making moldings trim,neutral,0.423,bert-based
Hitachi router,router,use primarily router table making moldings trim,neutral,0.555,bert-based
Hitachi router,adjustment,use primarily router table making moldings trim,neutral,0.546,bert-based
Hitachi router,control,use primarily router table making moldings trim,neutral,0.594,bert-based
Hitachi router,collet,use primarily router table making moldings trim,neutral,0.574,bert-based
Hitachi router,hitachi,many others past,neutral,0.46,bert-based
Hitachi router,vibration,many others past,positive,0.354,bert-based
Hitachi router,plunging,many others past,negative,0.431,bert-based
Hitachi router,router,many others past,neutral,0.427,bert-based
Hitachi router,adjustment,many others past,neutral,0.462,bert-based
Hitachi router,shaft,people spend money accessories raise lower router table waste money,negative,0.753,bert-based
Hitachi router,balance,people spend money accessories raise lower router table waste money,negative,0.784,bert-based
Hitachi router,lighter,people spend money accessories raise lower router table waste money,negative,0.767,bert-based
Hitachi router,start,people spend money accessories raise lower router table waste money,negative,0.772,bert-based
Hitachi router,price,people spend money accessories raise lower router table waste money,negative,0.753,bert-based
Hitachi router,price,people spend money accessories raise lower router table waste money,negative,0.753,bert-based
Hitachi router,cheap,people spend money accessories raise lower router table waste money,negative,0.731,bert-based
Hitachi router,price,gave dewalt woodworking friend gratitude help moving tools new shop,positive,0.611,bert-based
Hitachi router,operate,gave dewalt woodworking friend gratitude help moving tools new shop,positive,0.777,bert-based
Hitachi router,switch,gave dewalt woodworking friend gratitude help moving tools new shop,positive,0.614,bert-based
Hitachi router,lock,gave dewalt woodworking friend gratitude help moving tools new shop,positive,0.776,bert-based
Hitachi router,heavy,gave dewalt woodworking friend gratitude help moving tools new shop,positive,0.84,bert-based
Hitachi router,router,gave dewalt woodworking friend gratitude help moving tools new shop,positive,0.793,bert-based
Hitachi router,spring,like reviewers attest following,positive,0.594,bert-based
Hitachi router,spring,like reviewers attest following,positive,0.594,bert-based
Hitachi router,sawdust,like reviewers attest following,positive,0.689,bert-based
Hitachi router,sawdust,like reviewers attest following,positive,0.689,bert-based
Hitachi router,use,woodworking serious hobby,positive,0.585,bert-based
Hitachi router,result,woodworking serious hobby,neutral,0.5,bert-based
Hitachi router,price,woodworking serious hobby,neutral,0.471,bert-based
Hitachi router,m12,last 8 years since done ton routing messed around bunch different machines,neutral,0.482,bert-based
Hitachi router,router,last 8 years since done ton routing messed around bunch different machines,neutral,0.456,bert-based
Hitachi router,plunge,last 8 years since done ton routing messed around bunch different machines,neutral,0.435,bert-based
Hitachi router,use,last 8 years since done ton routing messed around bunch different machines,neutral,0.431,bert-based
Hitachi router,slop,last 8 years since done ton routing messed around bunch different machines,neutral,0.41,bert-based
Hitachi router,big,unless routinely use like cut mortises woodrat never notice,neutral,0.379,bert-based
Hitachi router,router,told take look reading reviews sites told get,neutral,0.418,bert-based
Hitachi router,starts,told take look reading reviews sites told get,neutral,0.525,bert-based
Hitachi router,runs,told take look reading reviews sites told get,neutral,0.5,bert-based
Hitachi router,adjustment,told take look reading reviews sites told get,neutral,0.595,bert-based
Hitachi router,use,told take look reading reviews sites told get,neutral,0.366,bert-based
Hitachi router,vibration,told take look reading reviews sites told get,neutral,0.482,bert-based
Hitachi router,price,told take look reading reviews sites told get,neutral,0.46,bert-based
Hitachi router,router,told take look reading reviews sites told get,neutral,0.418,bert-based
Hitachi router,router,need get 12 bits,neutral,0.471,bert-based
Hitachi router,stable,need get 12 bits,negative,0.412,bert-based
Hitachi router,use,need get 12 bits,neutral,0.436,bert-based
Hitachi router,visibility,need get 12 bits,neutral,0.398,bert-based
Hitachi router,fence,need get 12 bits,negative,0.483,bert-based
Hitachi router,controls,need get 12 bits,negative,0.422,bert-based
Hitachi router,simple,need get 12 bits,neutral,0.395,bert-based
Hitachi router,power,permenant fixture router table,neutral,0.557,bert-based
Hitachi router,control,permenant fixture router table,neutral,0.501,bert-based
Hitachi router,guide,permenant fixture router table,neutral,0.509,bert-based
Hitachi router,springs,take 312 inchers,negative,0.357,bert-based
Hitachi router,adjustments,take 312 inchers,neutral,0.388,bert-based
Hitachi router,wrench,take 312 inchers,negative,0.409,bert-based
Hitachi router,system,take 312 inchers,negative,0.46,bert-based
Hitachi router,router,need back hand held im going buy another one,negative,0.434,bert-based
Hitachi router,quiet,need back hand held im going buy another one,negative,0.654,bert-based
Hitachi router,power,need back hand held im going buy another one,negative,0.547,bert-based
Hitachi router,stability,need back hand held im going buy another one,negative,0.533,bert-based
Hitachi router,size,need back hand held im going buy another one,negative,0.379,bert-based
Hitachi router,plunging,need back hand held im going buy another one,negative,0.606,bert-based
Hitachi router,shafts,need back hand held im going buy another one,negative,0.5,bert-based
Hitachi router,shafts,need back hand held im going buy another one,negative,0.5,bert-based
Hitachi router,plunge,need back hand held im going buy another one,negative,0.566,bert-based
Hitachi router,plunging,need back hand held im going buy another one,negative,0.606,bert-based
Hitachi router,router,need back hand held im going buy another one,negative,0.434,bert-based
Hitachi router,plunging,need back hand held im going buy another one,negative,0.606,bert-based
Hitachi router,performance,need back hand held im going buy another one,negative,0.643,bert-based
Hitachi router,features,need back hand held im going buy another one,negative,0.476,bert-based
Hitachi router,money,need back hand held im going buy another one,negative,0.558,bert-based
Hitachi router,quiet,need back hand held im going buy another one,negative,0.654,bert-based
Hitachi router,adjustment,need back hand held im going buy another one,negative,0.571,bert-based
Hitachi router,performance,need back hand held im going buy another one,negative,0.643,bert-based
Hitachi router,plunging,ive done handheld routing works good well,positive,0.597,bert-based
Hitachi router,fence,ive done handheld routing works good well,positive,0.643,bert-based
Hitachi router,grip,thing hate pretty much goes router ive used changing bits,negative,0.926,bert-based
Hitachi router,chuck,thing hate pretty much goes router ive used changing bits,negative,0.935,bert-based
Hitachi router,collet,thing hate pretty much goes router ive used changing bits,negative,0.953,bert-based
Hitachi router,router,thing hate pretty much goes router ive used changing bits,negative,0.996,bert-based
Hitachi router,performer,thing hate pretty much goes router ive used changing bits,negative,0.957,bert-based
Hitachi router,router,thing hate pretty much goes router ive used changing bits,negative,0.996,bert-based
Hitachi router,router,exclusive use double router table building,positive,0.448,bert-based
Hitachi router,router,exclusive use double router table building,positive,0.448,bert-based
Hitachi router,collets,routers arrived promptly actually used one construction router table,neutral,0.433,bert-based
Hitachi router,collets,since used cut stiles rails first kitchen,neutral,0.489,bert-based
Hitachi router,power,since used cut stiles rails first kitchen,neutral,0.461,bert-based
Hitachi router,money,since used cut stiles rails first kitchen,neutral,0.425,bert-based
Hitachi router,setup,since used cut stiles rails first kitchen,neutral,0.48,bert-based
Hitachi router,router,find inheritly inaccurate design,negative,0.853,bert-based
Hitachi router,hitachi m12v,find inheritly inaccurate design,negative,0.858,bert-based
Hitachi router,operation,mounted mine home brew table used router lift,neutral,0.428,bert-based
Hitachi router,performance,mounted mine home brew table used router lift,neutral,0.415,bert-based
Hitachi router,router,mounted mine home brew table used router lift,neutral,0.403,bert-based
Hitachi router,router,mounted mine home brew table used router lift,neutral,0.403,bert-based
Hitachi router,router,router 1 4 shop,neutral,0.534,bert-based
Hitachi router,start,added router raizer kitsimple installation cannot live without setup,positive,0.397,bert-based
Hitachi router,runs,added router raizer kitsimple installation cannot live without setup,positive,0.366,bert-based
Hitachi router,router,added router raizer kitsimple installation cannot live without setup,positive,0.437,bert-based
Hitachi router,power,added router raizer kitsimple installation cannot live without setup,positive,0.502,bert-based
Hitachi router,price,added router raizer kitsimple installation cannot live without setup,neutral,0.434,bert-based
Hitachi router,router,added router raizer kitsimple installation cannot live without setup,positive,0.437,bert-based
Hitachi router,router,added router raizer kitsimple installation cannot live without setup,positive,0.437,bert-based
Hitachi router,price,added router raizer kitsimple installation cannot live without setup,neutral,0.434,bert-based
Hitachi router,router,second one,positive,0.383,bert-based
Hitachi router,tool,second one,neutral,0.431,bert-based
Hitachi router,powerful,second one,positive,0.536,bert-based
Hitachi router,price,last anahiem ww show decided get m12v,negative,0.387,bert-based
Hitachi router,m12v,maple koa cherry giving us hardest time burning splintering,negative,0.563,bert-based
Hitachi router,adjustment,maple koa cherry giving us hardest time burning splintering,negative,0.603,bert-based
Hitachi router,bog,maple koa cherry giving us hardest time burning splintering,negative,0.537,bert-based
Hitachi router,quite,true test ability forgiving coping rail,neutral,0.457,bert-based
Hitachi router,workload,true test ability forgiving coping rail,neutral,0.492,bert-based
Hitachi router,cheap,true test ability forgiving coping rail,neutral,0.498,bert-based
Hitachi router,router,good luck cut wood,positive,0.736,bert-based
Hitachi router,adjustment,good luck cut wood,positive,0.663,bert-based
Hitachi router,control,good luck cut wood,positive,0.79,bert-based
Hitachi router,control,good luck cut wood,positive,0.79,bert-based
Hitachi router,control,good luck cut wood,positive,0.79,bert-based
Hitachi router,heft,good luck cut wood,positive,0.873,bert-based
Hitachi router,stable,good luck cut wood,positive,0.618,bert-based
Hitachi router,heavy,good luck cut wood,positive,0.849,bert-based
Hitachi router,router,good luck cut wood,positive,0.736,bert-based
Hitachi router,control,good luck cut wood,positive,0.79,bert-based
Hitachi router,router,good luck cut wood,positive,0.736,bert-based
Hitachi router,price,good luck cut wood,positive,0.494,bert-based
Hitachi router,router,good luck cut wood,positive,0.736,bert-based
Hitachi router,power,hitachi hand beautiful large flat edge run guide subbase recessed interfere,positive,0.702,bert-based
